TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM,TO,LENGTH,HEADING,COMMENTS,BUSCOUNT,MESSAGECOUNT,HOUR,DAYOFWEEK,MONTH,RECORDID,LATITUDE,LONGITUDE,ENDLATITUDE,ENDLONGITUDE,STARTLOCATION,ENDLOCATION,Wards
3/21/2018 17:31,1133,23,Cicero,SB,Cermak,31st,1,S,Outside City Limits,3,17,17,4,3,1133-201803212231,41.85124519,-87.74443372,41.8367474,-87.74393181,POINT (-87.7444337191 41.8512451897),POINT (-87.7439318058 41.8367473974),
3/21/2018 17:31,1134,20,Cicero,SB,Roosevelt,Cermak,1.02,S,Outside City Limits,2,24,17,4,3,1134-201803212231,41.86596274,-87.7449852,41.85124519,-87.74443372,POINT (-87.7449852043 41.8659627382),POINT (-87.7444337191 41.8512451897),7
3/21/2018 17:31,1153,14,Harlem,NB,Forest Preserve Ave,Gunnison,1,N,Outside City Limits,3,11,17,4,3,1153-201803212231,41.95381382,-87.80714975,41.96834367,-87.80698239,POINT (-87.8071497455 41.9538138239),POINT (-87.8069823878 41.9683436725),19
3/21/2018 17:31,1211,36,Halsted,NB,51st,47th,0.5,S,,1,5,17,4,3,1211-201803212231,41.801585,-87.645156,41.808864,-87.645349,POINT (-87.645156 41.801585),POINT (-87.645349 41.808864),4
3/21/2018 17:31,1212,35,Halsted,NB,47th,43rd,0.5,S,,1,5,17,4,3,1212-201803212231,41.808864,-87.645349,41.816184,-87.645535,POINT (-87.645349 41.808864),POINT (-87.645535 41.816184),48
3/21/2018 17:31,1213,27,Halsted,NB,43rd,Pershing,0.5,S,,4,16,17,4,3,1213-201803212231,41.816184,-87.645535,41.823458,-87.645736,POINT (-87.645535 41.816184),POINT (-87.645736 41.823458),48
3/21/2018 17:31,1214,23,Halsted,NB,Pershing,35th,0.5,S,,2,17,17,4,3,1214-201803212231,41.823458,-87.645736,41.83075,-87.645915,POINT (-87.645736 41.823458),POINT (-87.645915 41.83075),48
3/21/2018 17:31,1215,18,Halsted,NB,35th,31st,0.5,S,,3,15,17,4,3,1215-201803212231,41.83075,-87.645915,41.838046,-87.646086,POINT (-87.645915 41.83075),POINT (-87.646086 41.838046),48
3/21/2018 17:31,1216,17,Halsted,NB,31st,Archer,0.63,S,,4,40,17,4,3,1216-201803212231,41.838046,-87.646086,41.847196,-87.646297,POINT (-87.646086 41.838046),POINT (-87.646297 41.847196),48
3/21/2018 17:31,1217,23,Halsted,NB,Archer,Cermak,0.4,S,,2,9,17,4,3,1217-201803212231,41.847196,-87.646297,41.852646,-87.646305,POINT (-87.646297 41.847196),POINT (-87.646305 41.852646),48
